kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matmul_cu.1.sm_30.ptx 135 : 100 600 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 134 : 100 560 0 0 0 7 4 0 0 
matmul_cu.1.sm_30.ptx 133 : 100 1000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 132 : 100 1000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 131 : 100 1132 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 130 : 100 704 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 127 : 2500 14464 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 126 : 2500 20004 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 125 : 2500 25068 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 124 : 2500 25096 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 123 : 2500 25000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 122 : 2500 25032 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 121 : 2500 25064 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 120 : 2500 115904 0 0 0 325 100 0 0 
matmul_cu.1.sm_30.ptx 119 : 2500 459080 0 0 0 175 100 0 0 
matmul_cu.1.sm_30.ptx 118 : 2500 25792 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 117 : 2500 26024 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 116 : 2500 25064 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 115 : 2500 116316 0 0 0 325 100 0 0 
matmul_cu.1.sm_30.ptx 114 : 2500 460608 0 0 0 200 100 0 0 
matmul_cu.1.sm_30.ptx 113 : 2500 25216 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 112 : 2500 25352 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 111 : 2500 25256 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 110 : 2500 108724 0 0 0 325 100 0 0 
matmul_cu.1.sm_30.ptx 109 : 2500 436908 0 0 0 100 100 0 0 
matmul_cu.1.sm_30.ptx 108 : 2500 25320 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 107 : 2500 17692 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 106 : 2500 25000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 105 : 2500 25480 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 97 : 100 1232 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 95 : 100 1000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 36 : 100 768 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 94 : 100 1232 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 35 : 100 604 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 93 : 100 700 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 34 : 100 604 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 33 : 100 636 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 91 : 100 0 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 32 : 100 704 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 90 : 100 700 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 31 : 100 764 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 30 : 100 27636 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 29 : 100 27636 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 28 : 100 27632 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 40 : 100 860 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 39 : 100 1096 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 98 : 100 800 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 27 : 100 27600 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 41 : 100 768 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 42 : 100 772 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 101 : 2500 25000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 43 : 100 796 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 102 : 2500 25000 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 37 : 100 0 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 96 : 100 1032 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 44 : 100 600 0 0 0 0 0 0 0 
matmul_cu.1.sm_30.ptx 103 : 2500 446224 0 0 0 100 100 0 0 
matmul_cu.1.sm_30.ptx 104 : 2500 443596 0 0 0 325 100 0 0 
